ID;R;PD;PE;FD;ProtectedStatus;Clima;Ecorregion;PP_MM;TMED;logitude;latitude;CodRegion
22414;12;3.570373861;0.006159037;1.635140712;0;Temperate;Valdivian_forests;700;11;-73.079986;-38.382546;9
22415;11;3.312911051;0.006970769;1.412343143;0;Temperate;Chilean_matorral;700;11;-73.079986;-38.632546;9
22416;11;3.312911051;0.006970769;1.412343143;0;Temperate;Chilean_matorral;700;11;-73.079986;-38.882546;9
22417;11;3.312911051;0.006970769;1.412343143;0;Temperate;Valdivian_forests;2100;9.5;-73.079986;-39.132546;9
22418;11;3.312911051;0.006970769;1.412343143;0;Temperate;Valdivian_forests;2100;9.5;-73.079986;-39.382546;14
22419;12;3.403453351;0.007482122;1.397270222;0;Temperate;Valdivian_forests;2100;9.5;-73.079986;-39.632546;14
22420;11;3.320176191;0.006930618;1.367402282;0;Temperate;Valdivian_forests;2100;9.5;-73.079986;-39.882546;14
22421;11;3.320176191;0.006930618;1.367402282;0;Temperate;Valdivian_forests;2100;9.5;-73.079986;-40.132546;14
22422;10;2.825366301;0.005815301;1.38842535;0;Temperate;Valdivian_forests;2100;9.5;-73.079986;-40.382546;10
22423;9;2.814298861;0.004095305;1.345770307;0;Temperate;Valdivian_forests;2100;9.5;-73.079986;-40.632546;10
22424;10;3.142249141;0.004591704;1.501562905;0;Temperate;Valdivian_forests;2100;9;-73.079986;-40.882546;10
22425;9;2.988519511;0.004173058;1.590432738;0;Temperate;Valdivian_forests;2100;9;-73.079986;-41.132546;10
22426;9;2.988519511;0.004173058;1.590432738;1;Temperate;Valdivian_forests;2100;9;-73.079986;-41.382546;10
22427;8;2.493709621;0.003057741;1.606748098;0;Temperate;Valdivian_forests;2100;9;-73.079986;-41.632546;10
22428;7;2.432827651;0.002969634;1.726242912;0;Temperate;Valdivian_forests;2100;9;-73.079986;-41.882546;10
22430;2;0.903153831;0.000698084;0.806397415;0;Temperate;Valdivian_forests;2100;9;-73.079986;-42.382546;10
22431;2;0.903153831;0.000698084;0.806397415;0;Temperate;Valdivian_forests;2100;9;-73.079986;-42.632546;10
22432;2;0.903153831;0.000698084;0.806397415;0;Temperate;Valdivian_forests;2100;9;-73.079986;-42.882546;10
22434;7;2.837095241;0.003573598;1.740768184;1;Temperate;Valdivian_forests;2100;9;-73.079986;-43.382546;10
22435;7;2.837095241;0.003573598;1.740768184;1;Temperate;Valdivian_forests;2100;9;-73.079986;-43.632546;11
22436;7;2.837095241;0.003573598;1.740768184;0;Temperate;Valdivian_forests;2100;9;-73.079986;-43.882546;11
22437;7;2.837095241;0.003573598;1.740768184;0;Temperate;Valdivian_forests;2100;9;-73.079986;-44.132546;11
22438;6;2.509144961;0.003077198;1.481054426;1;Temperate;Valdivian_forests;2100;9;-73.079986;-44.382546;11
22439;2;0.903153831;0.000698084;0.806397415;1;Temperate;Valdivian_forests;2100;9;-73.079986;-44.632546;11
22440;5;2.331748821;0.002703482;1.568214228;1;Temperate;Valdivian_forests;2100;9;-73.079986;-44.882546;11
22441;5;2.331748821;0.002703482;1.568214228;0;Temperate;Valdivian_forests;2100;9;-73.079986;-45.132546;11
22442;5;2.331748821;0.002703482;1.568214228;0;Temperate;Valdivian_forests;2100;9;-73.079986;-45.382546;11
