ID;SR;PD.obs;PD.SES;PD.Pvalue;FD.obs;FD.SES;FD.Pvalue;PE.obs;PE.SES;PE.Pvalue;Protegido;Clima;Ecorregion;Climate;Ecoregion;PP_MM;TMED;ALT_MIN;ALT_MAX;long;lat;codregion
22592;8;2.897977211;-0.017283483;0.46;1.913161933;-0.393592709;0.3665;0.003661705;0.277241833;0.387387387;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.829986;-44.382546;11
22593;5;2.331748821;0.137230957;0.534;1.504131621;-0.085838587;0.4625;0.002703482;0.903137966;0.176176176;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.829986;-44.632546;11
22594;6;2.392630791;-0.066475528;0.463;1.526612186;-0.32147791;0.397;0.002791589;0.309024461;0.35035035;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.829986;-44.882546;11
22595;6;2.392630791;0.017319408;0.4975;1.526612186;-0.2992626;0.413;0.002791589;0.309024461;0.35035035;0;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.829986;-45.132546;11
22596;6;2.392630791;-0.002431075;0.4855;1.526612186;-0.298674983;0.413;0.002791589;0.309024461;0.35035035;0;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.829986;-45.382546;11
22597;6;2.392630791;-0.034652529;0.459;1.526612186;-0.281487584;0.4085;0.002791589;0.309024461;0.35035035;0;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.829986;-45.632546;11
22598;6;2.392630791;-0.030006713;0.4715;1.526612186;-0.339848536;0.391;0.002791589;0.309024461;0.35035035;0;2;7;Templado;Estepa_Patagonica;2100;9;0;1400;-72.829986;-45.882546;11
22599;7;2.720581071;0.006320323;0.4665;1.804427909;-0.272358121;0.4145;0.003287988;0.453829486;0.313313313;0;2;7;Templado;Estepa_Patagonica;2100;9;0;1400;-72.829986;-46.132546;11
22600;7;2.838232781;0.087321815;0.532;1.885778537;-0.025882504;0.4585;0.005389836;1.675006482;0.084084084;0;2;7;Templado;Estepa_Patagonica;2100;9;0;1400;-72.829986;-46.382546;11
22601;7;2.741494341;0.040172083;0.52;1.973510455;0.017586481;0.558;0.005884374;0.505951039;0.267267267;1;2;5;Templado;Bosque_Valdiviano;2100;9;0;1400;-72.829986;-46.632546;11
22602;8;3.069444621;0.089543666;0.5375;2.251326178;0.060708503;0.546;0.006380773;0.567970226;0.254254254;1;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.829986;-46.882546;11
22603;8;3.069444621;0.077392193;0.5215;2.251326178;0.077369435;0.5475;0.006380773;0.567970226;0.254254254;1;2;7;Templado;Estepa_Patagonica;2100;9;0;1400;-72.829986;-47.132546;11
22604;9;3.380274174;0.213589786;0.5855;2.500167815;0.070408144;0.4875;0.007673572;-0.449514402;0.591591592;1;2;7;Templado;Estepa_Patagonica;2100;9;0;1400;-72.829986;-47.382546;11
22605;10;3.402921894;-0.172170043;0.4345;2.812215714;0.431845173;0.65;0.007765264;-0.595115087;0.674674675;0;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.829986;-47.632546;11
22606;10;3.402921894;-0.129841862;0.4555;2.812215714;0.350257897;0.6125;0.007765264;-0.595115087;0.674674675;0;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.829986;-47.882546;11
22607;11;3.882513694;0.087579222;0.5255;2.993141177;0.453121535;0.6335;0.010175273;-0.186439778;0.47047047;0;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.829986;-48.132546;11
22608;12;4.059909834;0.048691168;0.5225;3.278140784;0.811972163;0.7785;0.010548989;-0.193146652;0.472472472;1;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.829986;-48.382546;11
22609;13;4.292084124;0.063316364;0.5255;3.303754235;0.571540526;0.684;0.01102199;-0.199663263;0.476476476;1;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.829986;-48.632546;11
22610;13;4.292084124;0.075910372;0.5285;3.303754235;0.576949211;0.6945;0.01102199;-0.199663263;0.476476476;1;2;6;Templado;Bosque_Maguellanico;2100;9;0;1400;-72.829986;-48.882546;11
22617;14;4.298406941;0.045078075;0.5375;2.83217296;-0.33422665;0.376;0.012966354;-0.348011479;0.527527528;1;2;6;Templado;Bosque_Maguellanico;900;6;650;2500;-72.829986;-50.632546;12
